232
  index      tf-idf
-------  ----------
   1308  0.0904291
   7473  0.054604
   9580  0.0198299
   5646  0.0148117
   5822  0.122042
   7409  0.0511637
   7543  0.0620384
   1318  0.0279386
   8363  0.0550695
   1928  0.018043
   2200  0.0572869
     84  0.0274357
   3547  0.0398811
  10831  0.0288961
  10946  0.0469196
   8083  0.0317243
  12181  0.138568
    324  0.0986209
   7175  0.182031
   6344  0.0283554
  10904  0.0207959
   4379  0.0215866
   8945  0.0198847
   9763  0.0635603
   6757  0.0479854
   7359  0.0538206
   5471  0.0384168
   7111  0.0308397
   8637  0.0456477
   5789  0.0192412
   4399  0.07332
   8859  0.01298
  12064  0.0775965
   1067  0.081917
   8867  0.028569
   8268  0.0288961
   6106  0.0148117
   4888  0.0904291
   6628  0.0904291
   3285  0.054604
   6069  0.120688
   2725  0.0455361
  12157  0.060677
   7336  0.0904291
  11161  0.0557354
   8866  0.0725876
   8502  0.0306689
  11135  0.108298
   9555  0.070339
   6245  0.0538206
   8085  0.0202189
   9574  0.0217761
   8236  0.0441258
   6560  0.0310547
  11924  0.0672775
  11750  0.124743
    273  0.0904291
   7431  0.0187788
   2618  0.0311859
   9554  0.262989
   8307  0.0523835
   5334  0.062565
  10366  0.0706412
  12182  0.193442
  11140  0.0366914
  12144  0.00825582
   1941  0.0186283
   3561  0.0330248
  10078  0.0295764
    478  0.0222296
   9258  0.00525681
   3776  0.0535262
   9544  0.0504892
   7472  0.0178537
   9364  0.0307962
   2683  0.0437718
   4017  0.0225635
   8313  0.0460579
  10226  0.00805617
   7194  0.037692
   6003  0.0500593
  10632  0.0116347
    623  0.0344709
   9191  0.0188294
   5700  0.0699825
   8487  0.0368949
   4394  0.0271432
   6773  0.0904291
   4109  0.0355335
   2437  0.0530821
    867  0.022768
   6063  0.0290071
  10843  0.0469196
   2049  0.0366647
  11567  0.0510903
  11646  0.0904291
   2865  0.0277351
    108  0.0725876
   6720  0.0175289
   6735  0.244289
   2074  0.0880369
   9889  0.047843
   6296  0.0814728
  12219  0.0517207
   8473  0.0904291
  10857  0.048597
   9226  0.0137546
   8007  0.0209144
   7576  0.0236939
   8240  0.0354021
   2341  0.0126303
   1712  0.0262132
    325  0.121354
  10047  0.0281453
    953  0.0170787
   3330  0.0162226
   8070  0.045399
  10992  0.0897287
    485  0.0530821
   7208  0.0379633
  11846  0.0212156
   9257  0.00792477
   1345  0.0290071
   9017  0.0219041
    451  0.0330248
   6153  0.0493826
   5128  0.0535262
    438  0.0245327
   3525  0.0396252
  10987  0.0424453
  11389  0.0276235
  10073  0.0273375
  11976  0.0725166
   2871  0.0601012
   5299  0.034642
    528  0.0229062
  10527  0.0360861
    900  0.0469196
  10961  0.0802902
  12153  0.0360995
   3566  0.0517207
   5654  0.0725166
  10755  0.0299304
   6226  0.0273375
    875  0.0418299
  10657  0.0277351
  10883  0.081917
   1374  0.0904291
   8290  0.0412425
   6240  0.0381881
  10033  0.0391282
   4722  0.0215866
   7744  0.0379633
   3092  0.0386496
   6891  0.0814728
   3514  0.0348155
   4005  0.0283201
   8259  0.060677
  10877  0.0251789
   8892  0.166314
   6888  0.0499148
   4750  0.0469196
   4740  0.0330248
   4874  0.0529705
   5105  0.0762338
   6197  0.036491
   7663  0.0652856
   5754  0.0582379
   3256  0.0277351
   6203  0.0206784
   2197  0.0563294
   8371  0.0311859
   9975  0.0875435
  10406  0.104767
    102  0.0270471
    575  0.0233299
    949  0.216474
    939  0.0594455
   6972  0.102399
   6581  0.0239927
  11905  0.0401422
   9898  0.0279386
   8301  0.0309248
   1223  0.0530821
   1921  0.0725166
   6745  0.0434272
   5197  0.0679413
   8861  0.0355335
   2098  0.030418
  11818  0.0173018
   3060  0.0318625
   1205  0.0782564
   8292  0.0737897
   3140  0.0572869
   2904  0.0357194
   3409  0.0177601
   8636  0.0530821
    692  0.0376587
   8080  0.106078
   7752  0.022496
   7407  0.0277351
    365  0.0292547
   6600  0.0216495
   2724  0.0333324
   7869  0.0423036
   5330  0.0504892
   2018  0.0986209
  11895  0.013675
  10752  0.0481369
    933  0.0255999
  10617  0.0460579
   6758  0.0444898
   4638  0.0499148
   5829  0.244343
   4624  0.0244542
   6863  0.118773
   8167  0.108485
   4677  0.0635603
  12213  0.0904291
   7725  0.0672775
   6382  0.0426762
  10176  0.0418299
   8174  0.0430915
   8889  0.0331777
   6100  0.0409585
   8493  0.0412425
   3338  0.0510903
  11223  0.0122593
  10930  0.0103111
   1750  0.127121
   9535  0.0279386
  10667  0.0752891
