151
  index      tf-idf
-------  ----------
   2345  0.11697
   4778  0.022786
   7481  0.0320612
   7409  0.0144094
   7707  0.0626491
   6892  0.0508153
    636  0.0660707
   5329  0.0687712
   5486  0.0516676
   5078  0.0854433
   5379  0.0378193
   5586  0.0768915
   6177  0.0565269
   7905  0.0673709
   4268  0.0483029
   5957  0.0349955
    574  0.0839586
   7408  0.0400788
   4892  0.0687712
   7633  0.0873604
   7395  0.0414853
   8945  0.0280011
   6757  0.0675714
   1028  0.0561593
   3849  0.11954
   2535  0.0151583
   5970  0.0667092
   7111  0.0217137
   1523  0.0369126
   4399  0.0825974
    475  0.0315836
   6889  0.478161
   8375  0.102115
   3918  0.0495245
  11108  0.0405357
  11559  0.061638
   7053  0.0757885
   4148  0.208981
   1175  0.114727
  11912  0.0351096
   9549  0.102215
   8255  0.0534587
   2618  0.0439149
   5313  0.0836263
   8853  0.0584852
  11362  0.0780658
  11660  0.0602194
   3577  0.0572851
   7839  0.082126
   9372  0.0508341
   2305  0.0961363
   1575  0.0660707
    553  0.0767169
  10078  0.0416485
   9258  0.0222074
   4817  0.10885
  10752  0.0338924
   2148  0.0813812
   5238  0.056902
   7700  0.069514
   8807  0.0218789
  10226  0.0113444
   6013  0.031396
   7194  0.0106153
    495  0.0565269
   5371  0.0248783
   8167  0.0218236
   6389  0.0873604
   7242  0.0622365
  10271  0.0379526
  11886  0.0747484
   8790  0.0358095
   2049  0.025815
   6720  0.074051
   8752  0.0356909
  10551  0.0525411
    499  0.0508341
   9226  0.00704318
   9177  0.10735
   1444  0.0980553
  10881  0.0426596
   8240  0.024926
   2163  0.0593317
   8739  0.0919331
   9548  0.0572851
   8576  0.0576764
   3330  0.0456884
   8242  0.0291187
   6910  0.0611527
   5291  0.0680576
    438  0.0345462
  11389  0.0194492
   8042  0.0687712
  11069  0.0673709
  10527  0.0254076
   7908  0.208981
   8550  0.0393422
   5076  0.0584852
   5093  0.0396333
   3275  0.0854433
   4722  0.0303975
    277  0.0511077
   7407  0.0781113
   4005  0.0199397
   5627  0.0528419
   8280  0.037167
  11687  0.32205
   4874  0.0372956
   6873  0.0410043
   4954  0.0239874
   6954  0.12136
   7140  0.0327516
   8245  0.049026
   8935  0.0446732
  10154  0.099049
   8684  0.0737647
   4147  0.0492735
   7333  0.0621365
   8743  0.0413235
   9892  0.0654539
    199  0.0406906
   1205  0.0550991
   3124  0.0411632
  10505  0.0616892
  11193  0.0979541
  11736  0.0593317
   2736  0.0444806
    399  0.0687712
    158  0.0467197
   3008  0.082126
   5347  0.0402299
   2055  0.117595
   8085  0.0284716
   2161  0.0414853
  10155  0.0737647
   8871  0.0660707
   8860  0.0667092
   2341  0.0177856
  11896  0.0513855
   1729  0.0631672
    371  0.111598
   1899  0.0321582
   5960  0.0631672
  12125  0.10735
   1784  0.0624207
   2647  0.0437302
   5461  0.0544251
   8007  0.058902
   1299  0.0602194
   1506  0.0279238
   8348  0.134742
