248
  index      tf-idf
-------  ----------
   1178  0.0173993
  11701  0.0281814
   5646  0.027669
   1507  0.0712043
   7481  0.0637978
   1654  0.0311334
   8906  0.150114
   6793  0.0760978
  10285  0.0566739
   1900  0.0650393
   4989  0.0350496
   3766  0.0556891
  10479  0.0293773
   8313  0.0430193
   2509  0.0543957
   3547  0.03725
  10831  0.0269898
   9130  0.0845295
   8109  0.0677324
   6153  0.0230623
   1003  0.0267852
   8895  0.0461081
    225  0.0844632
   8915  0.0677324
    632  0.0609785
   3810  0.0650393
   3496  0.0844632
    949  0.173308
   2330  0.0315777
   4379  0.0403249
   3968  0.0377427
   9963  0.0844632
   2858  0.0438242
  11850  0.0580118
   2535  0.0502718
   3776  0.0249974
   5789  0.0898591
   4399  0.0136966
  12064  0.0181193
   8940  0.0510015
   8805  0.0535075
  11108  0.0537741
   6106  0.0138345
  10725  0.0328492
   2055  0.026
   2021  0.0466217
   4164  0.0544735
   2344  0.0517804
  11135  0.0337179
   9555  0.0328492
   2864  0.030538
   3570  0.0256257
   1078  0.0354588
  11750  0.0582568
   6009  0.0352525
   4181  0.0367767
   2448  0.0281814
   5313  0.110937
   9554  0.0614097
   2234  0.0188324
   7778  0.0248238
  10366  0.0439872
  12182  0.129057
   8918  0.0243173
   8904  0.0221307
  12164  0.0300228
   4647  0.0244003
   7921  0.0902841
  11815  0.0517804
  11079  0.0721995
   9258  0.00981999
  10752  0.0224806
   1729  0.0209492
    911  0.0430193
   3613  0.0781405
  11923  0.0566739
  10226  0.00752468
  12035  0.0222695
   6013  0.0416495
   2043  0.0415546
   7194  0.0422463
    721  0.0226955
   6003  0.0311711
   7546  0.0712043
  10973  0.0165884
   6609  0.0195346
   9034  0.121957
   8487  0.0344608
   3105  0.0367767
   7248  0.0628389
   1430  0.0759935
   4331  0.0543957
   4096  0.0267852
    858  0.0415546
  10271  0.0251736
   8064  0.0844632
    953  0.0159519
   5572  0.0544735
   8898  0.0358823
  10895  0.0461081
   8810  0.0804972
   5377  0.0451421
   6720  0.0654899
   6735  0.354934
    571  0.0760978
   1307  0.0461081
   8743  0.0274096
   8199  0.0489275
  10857  0.0907818
   9226  0.0175188
   3456  0.0775856
   8007  0.0195346
  11241  0.0461081
   9934  0.0451421
   8240  0.0330665
   2341  0.0943762
   1153  0.0922162
   9128  0.0844632
  10858  0.0379818
   8676  0.0650393
   7366  0.0579455
   2060  0.0312796
   3330  0.0151524
   7478  0.0323566
  10361  0.0844632
   9389  0.0592627
   5198  0.0379968
   8813  0.0363212
   9308  0.0367767
   8967  0.130245
    438  0.0229142
  10987  0.0792901
   2123  0.059367
   7391  0.0510015
   3775  0.0517804
   2618  0.0582568
  11790  0.0618635
   4138  0.0399431
   7242  0.0206405
   6196  0.0370433
   3837  0.0640779
  10220  0.0232122
    655  0.0153867
  10233  0.0797521
   6921  0.0249103
   9108  0.0712043
  10335  0.0382563
    558  0.0755209
  10657  0.0518106
   7116  0.0379968
   6382  0.0797214
   3847  0.061739
   5170  0.0159107
   7744  0.177294
   6226  0.0255339
   9027  0.0419045
   4005  0.0264517
   7869  0.0987818
  12048  0.118734
   4450  0.0292522
   1327  0.14101
  10382  0.0307048
   5197  0.0317295
   1333  0.0300228
  10883  0.0382563
   9210  0.0235954
  10206  0.0258114
  12181  0.129426
    392  0.0405621
  10551  0.0348501
   1602  0.0225518
  10914  0.0609785
   5567  0.0505254
   6203  0.0579425
   4950  0.0161604
   9512  0.0422648
  12055  0.0148092
  11819  0.0207016
   6515  0.0320389
   9553  0.0745
   6972  0.0239109
   3668  0.0346539
   9209  0.0258114
    365  0.0136623
   2246  0.0216574
   1115  0.0311334
   9898  0.156572
  10670  0.059367
  11593  0.0250852
   2396  0.03725
   1716  0.0412146
     68  0.0262885
  10994  0.22729
   9625  0.0628389
   3633  0.0579455
   1941  0.0173993
    417  0.0765126
   9501  0.0508857
   2424  0.0282958
   1752  0.0399431
   9257  0.00740194
   8292  0.0344608
   4777  0.0555236
   9494  0.0146969
   8080  0.0792638
   6571  0.0335391
   9519  0.0396451
   1858  0.0760978
   3271  0.0622667
   8167  0.0144755
   6901  0.0489275
  10157  0.0466217
   1385  0.0449612
   2724  0.0622667
   2049  0.0171229
  11223  0.0458021
   8085  0.018885
   7165  0.0311334
    351  0.0566739
   6888  0.0466217
  10617  0.0430193
   5829  0.0570557
   4624  0.0228409
  12105  0.03725
      8  0.187469
   8014  0.0355559
   3662  0.0477196
   4502  0.0348501
   2731  0.0608548
  10189  0.0724594
  11834  0.0278445
   6197  0.0340836
   4343  0.0760978
  11880  0.0323566
   5960  0.0209492
   6290  0.017446
   2378  0.0760978
   3060  0.0892813
   5449  0.0628389
   6244  0.0510015
   5066  0.0471582
   9057  0.0348501
  10930  0.0192617
    878  0.0712043
   8752  0.0236735
   7500  0.0510679
  10667  0.0937627
   6024  0.035749
