48
  index      tf-idf
-------  ----------
    900  0.11258
   9257  0.0380298
  11354  0.347996
   1178  0.223486
   4778  0.0388258
  11717  0.0606144
   7409  0.0491054
   7647  0.297713
   7502  0.216978
   8906  0.0771258
   4753  0.0875576
  11668  0.0989583
  11818  0.0415145
  12144  0.0198092
   1928  0.043293
  11389  0.0331402
   1831  0.178045
   3020  0.1042
   2148  0.0693342
   7903  0.0900392
   4642  0.310185
   7140  0.0558066
   1865  0.0500401
    655  0.0395271
   5580  0.270316
    558  0.0646687
   7194  0.0180878
   1544  0.0598245
  10226  0.0193302
  10057  0.216978
  10459  0.115966
    998  0.305016
   2874  0.216978
   8859  0.0311445
   2955  0.083121
   8669  0.0631127
  11684  0.107649
   9465  0.0631127
   1899  0.0547956
   3167  0.188952
    235  0.114796
   7406  0.131018
   5419  0.0594369
   9226  0.00600056
  11667  0.278211
   8240  0.0424724
   2068  0.0778148
   7267  0.129139
