122
  index     tf-idf
-------  ---------
   6570  0.0992827
   4369  0.079043
   6892  0.102903
   1966  0.079043
     25  0.0650842
   3851  0.0596408
   5652  0.0668977
   2643  0.0435478
   9906  0.0609732
   5646  0.0211184
   2484  0.0884539
  11151  0.0629142
   3890  0.077854
   1232  0.0930839
   6505  0.15199
   8528  0.0682142
    686  0.0711682
  11179  0.116163
    910  0.0484351
   1279  0.0421698
   5746  0.103394
   3710  0.0511974
    475  0.0319789
  12155  0.0682142
   6224  0.0528992
   2864  0.0233081
   7795  0.0551063
  11161  0.0264891
  10632  0.0165887
   7880  0.080314
   9149  0.0836816
   7431  0.0267747
  10541  0.0816793
   2234  0.0287477
  12144  0.0353133
   8508  0.0668977
   1575  0.133795
   7920  0.123836
   9258  0.0674561
   8698  0.108694
   2035  0.073743
    911  0.0656691
  12105  0.0568622
   4074  0.0629142
   4800  0.079043
   3513  0.108694
   1564  0.0504021
   3903  0.108694
   8009  0.156471
  11893  0.0671465
  10857  0.0346447
   9226  0.0124798
   2669  0.037503
    103  0.0450374
   1712  0.0373746
  10858  0.0289896
   4114  0.0675442
   9301  0.198819
   7886  0.0596408
   8579  0.0605183
  10066  0.073743
   7234  0.181248
   7472  0.101823
   3806  0.166308
    197  0.0580022
   2346  0.0609732
   4138  0.0609732
  10220  0.141734
    687  0.150433
   6592  0.0675442
    410  0.0576143
   6094  0.0387006
   1704  0.110213
  10996  0.0299047
  10030  0.271871
   2976  0.128933
   9210  0.0360184
   5717  0.0526045
   7444  0.077854
   2596  0.103394
   8228  0.0395445
  12074  0.0675442
   3505  0.0580022
   3326  0.186168
   8296  0.0885551
   9802  0.0580022
   3610  0.108694
   9257  0.0112991
    109  0.0408877
   1890  0.0930839
  11031  0.112995
   5197  0.0484351
    467  0.0728442
  10393  0.0865128
   9861  0.0541279
  11818  0.0493377
   7155  0.0304237
    185  0.0675442
   2350  0.0319789
   3053  0.112279
   6356  0.0254557
   4422  0.0517474
   9806  0.074688
   2872  0.0473045
  11895  0.0389955
   2091  0.0719871
   4498  0.0831539
   6421  0.0682142
   8014  0.0271381
   6872  0.0306888
   1922  0.0719871
   6382  0.0304237
    208  0.0306888
   9252  0.401386
   3081  0.0304237
   5960  0.0639579
   6290  0.0266313
   3682  0.0326595
  11223  0.0349585
  10930  0.0294031
   7389  0.080314
   5608  0.153474
