299
  index      tf-idf
-------  ----------
   4959  0.0425839
   3345  0.088608
   9728  0.025046
    480  0.0594883
   3604  0.180679
   6528  0.0327582
  12044  0.0411295
   9063  0.0392977
   5885  0.0299063
   7296  0.0476691
   1306  0.0269392
  10549  0.0327582
   2030  0.045298
   5749  0.0087968
   5399  0.0360443
  11657  0.0888403
   3790  0.0529488
   6065  0.0594883
   2749  0.0681384
   8871  0.0685178
  10815  0.409873
   7856  0.114745
     69  0.0309919
   2624  0.0776772
   4500  0.0821285
   5646  0.0108149
   3885  0.0349331
   4225  0.0464092
  10226  0.0588231
   2423  0.024338
   5957  0.0181458
   8895  0.0360443
   7408  0.0103908
   8318  0.0289328
   1146  0.0269392
  10820  0.0215955
   8280  0.308349
  10274  0.0476691
   2634  0.024338
   9447  0.0476691
  11838  0.0398697
   4830  0.0333302
  11673  0.044304
   9572  0.0166243
   4379  0.0157617
   7143  0.042523
   3726  0.0169823
   9543  0.0922561
   7599  0.0660279
  10023  0.0508435
   1279  0.0215955
   3082  0.0324847
   2134  0.0196791
   7396  0.0251693
   8886  0.0453499
   9056  0.0594883
   1473  0.0508435
   1907  0.0720886
   2525  0.0473591
   3244  0.0364459
   4396  0.025046
    834  0.0567871
   6106  0.0216298
   9066  0.0282204
   8081  0.0411295
   2864  0.0119363
   2866  0.0324847
   8763  0.158846
   2298  0.0356592
  11161  0.0135653
    574  0.0217671
   7616  0.0392977
  10632  0.0169904
   7795  0.0282204
   8107  0.0349331
  12110  0.0544871
   9017  0.063974
  10906  0.0508435
   1040  0.0275581
   2545  0.0639209
   2850  0.0556629
   5277  0.0660279
   2396  0.0291196
   7750  0.279088
   4549  0.0582393
  10301  0.0529488
   9482  0.0347089
  10366  0.0171932
   5988  0.0513588
   3511  0.06918
   4966  0.0554387
  10132  0.0275581
   2065  0.0231639
   2226  0.0356592
   8586  0.0411295
   9258  0.0383832
   3776  0.0390828
  10532  0.0297034
   2672  0.0415634
   2683  0.0319604
   8807  0.0113446
   6029  0.0527169
  10124  0.0168272
   5708  0.0382484
   5268  0.0339391
   1284  0.090596
  10561  0.0192718
   5256  0.0464092
   2255  0.0618811
   7188  0.0245682
    477  0.0691921
   5152  0.0660279
   2673  0.0368907
   2628  0.0556629
     76  0.0572237
   6549  0.132056
   9191  0.027497
   6609  0.0152709
   4096  0.0418779
   3658  0.0330398
    867  0.0166243
   1492  0.0666603
   5605  0.0352892
   8790  0.0742716
   8307  0.0382484
  10595  0.0434048
   5130  0.0314638
   8114  0.0590096
   8360  0.0234699
   3020  0.0317088
    218  0.0285699
   6128  0.0398697
   5647  0.156753
    528  0.0167252
