127
  index     tf-idf
-------  ---------
    849  0.20918
   2195  0.0608147
   8112  0.565226
   9210  0.0648598
   4771  0.0315951
   1926  0.0815948
   5165  0.0522233
   3766  0.03827
  10479  0.0807531
  10090  0.049616
   8921  0.089391
  10124  0.029585
   3885  0.0614179
   5268  0.0596703
    574  0.0765399
   7408  0.0182687
   8280  0.135532
  10904  0.0266965
    630  0.299477
   8945  0.0255268
  12144  0.0105983
   2535  0.0276378
   3288  0.117199
   1279  0.0379684
   5574  0.118253
   8859  0.0166629
   9780  0.0575941
   2865  0.0356046
  11161  0.0238499
  10632  0.0149359
   1188  0.0502304
   7431  0.0241071
   7128  0.0517672
  10145  0.0608147
   2169  0.0460966
   5988  0.0902969
   8033  0.0591264
   1941  0.0239138
   9258  0.053987
   8995  0.0515321
   1658  0.0640776
   8817  0.0735415
  10226  0.0206841
   4737  0.0898394
   8784  0.0444713
   2139  0.0508685
  11008  0.0471022
    477  0.0405502
   2673  0.0324299
   2957  0.0796411
   9991  0.0672467
   2024  0.0571133
    953  0.0219246
   8032  0.0700973
   8790  0.0326453
     40  0.0505464
   6508  0.0540891
  10732  0.0536987
   8743  0.0753443
   8935  0.0407258
    499  0.0926847
   9226  0.0192625
  10858  0.0261014
   6022  0.0723122
   2749  0.0299495
   1522  0.105889
   3781  0.036954
  11846  0.0272353
    575  0.0299495
   1345  0.0372375
  11169  0.0629873
  10073  0.0701884
   8300  0.132792
  11790  0.0212565
  10527  0.0231626
   3104  0.0525801
   6196  0.0254564
  10087  0.0533174
   1865  0.0267724
    655  0.0211478
   7656  0.0672467
   6921  0.0342371
  10229  0.0390489
   7813  0.0735415
  10657  0.0356046
   8354  0.0478985
   3092  0.049616
   8849  0.0608147
   6933  0.130828
   8786  0.0390489
   1384  0.0533174
   3584  0.0515321
    125  0.195729
  10624  0.10459
   1602  0.0309955
   1228  0.0815948
   9205  0.0493171
   5613  0.0473634
   7257  0.089391
    230  0.089391
   9209  0.0354756
  11110  0.171965
     68  0.0361313
   4820  0.0275513
   2350  0.0863785
   3053  0.151639
   6573  0.0410825
   1891  0.0557492
   8780  0.0478985
   3056  0.0533174
   8848  0.0614179
   7675  0.119341
    328  0.0699381
   3241  0.0292282
   3517  0.0575941
   4495  0.0390489
   8014  0.0488685
   6872  0.0276312
   5235  0.10459
   1729  0.0287928
   6267  0.0748692
  11223  0.0629512
  11242  0.0838098
   2809  0.0390489
   3427  0.136287
   1443  0.0499204
  10667  0.0322172
