49
  index     tf-idf
-------  ---------
   9257  0.029433
   2038  0.183344
   1555  0.140998
  10145  0.175946
   1544  0.0926017
   2505  0.189752
  10486  0.102636
   3082  0.165237
   7019  0.146238
   2169  0.133364
   3511  0.175946
   9501  0.101171
   3549  0.137029
  10815  0.231652
   7856  0.194555
   2624  0.158045
   2350  0.0833019
    478  0.0825617
   9494  0.0584405
   8080  0.0787958
  11069  0.177691
   6195  0.236066
     74  0.258621
  10961  0.0596404
  10226  0.029921
   8280  0.196056
  10657  0.103009
  11895  0.0507896
    933  0.0950791
   6609  0.0776771
  10214  0.160044
    722  0.177691
   9589  0.171061
   6872  0.0799412
   2068  0.120449
   7026  0.189752
  12153  0.134075
   1729  0.0833019
   1831  0.137797
    208  0.0799412
   9066  0.143546
   7795  0.143546
   4944  0.132664
    692  0.0699332
   6528  0.166628
   3682  0.17015
   7408  0.052854
   7196  0.189752
   3510  0.122656
