122
  index       tf-idf
-------  -----------
   9712  0.0303228
   3366  0.0223082
   4778  0.0125399
  10943  0.0292489
   4346  0.0405951
   6809  0.0599038
  11044  0.027255
  11668  0.0319613
   5749  0.0186731
   9706  0.0417089
   1928  0.20974
   9595  0.0561975
   3229  0.0492567
   3851  0.0648331
   5932  0.0378471
   6161  0.0252456
  12169  0.0254758
   8280  0.0204542
   8264  0.0443951
  12033  0.0289151
   1279  0.045841
  10651  0.0460679
  12064  0.0150336
   2532  0.0539631
   4549  0.0309063
     72  0.0460679
    577  0.0561975
  11912  0.0386439
   8085  0.0156689
   2905  0.0561975
   5016  0.0269806
   6366  0.0561975
   7120  0.0311086
   2234  0.0156253
   5106  0.039593
   6411  0.0561975
    842  0.0317412
   5237  0.0417089
   4889  0.0246368
   8167  0.0120103
   2148  0.0223934
    971  0.0505938
  11379  0.0382558
   4394  0.0210349
   6003  0.0129313
  10584  0.0521374
   6299  0.077364
    864  0.0903933
   6609  0.0162079
   4096  0.0222237
   1156  0.0176443
   6901  0.0405951
   6063  0.0224793
   4724  0.0561975
   2049  0.0142068
   2083  0.0480773
  10555  0.0496009
   1565  0.0309063
   4642  0.0333943
   9226  0.000969024
   8240  0.00685881
   2341  0.00978799
  10214  0.0667885
   8557  0.842962
   3781  0.0223082
  11984  0.0197071
   3386  0.0326522
  10554  0.0238659
   5231  0.0505938
   2081  0.0561975
  11717  0.0195771
   9486  0.0255929
  10487  0.0341958
  11819  0.103057
   6021  0.0561975
  10359  0.0400815
   6094  0.0420698
   9087  0.0315259
   4005  0.0109735
   4735  0.0429622
   4944  0.0276811
  11072  0.039593
   6124  0.0387703
   1378  0.0561975
   5785  0.0561975
   3847  0.0170749
   4222  0.112395
    228  0.0387703
   4513  0.0561975
   6290  0.0144749
   4709  0.0492567
   5068  0.0353752
  11006  0.0470223
   7997  0.0417089
    147  0.112395
   8693  0.0480773
   3487  0.0451966
   6657  0.0451966
  12083  0.0239655
   3271  0.0258313
   7083  0.0561975
  10089  0.0575046
   1379  0.0561975
  11895  0.0105976
  11881  0.0480773
   7675  0.0720428
   2046  0.0391271
   8675  0.0539631
   4624  0.018951
   1121  0.0347681
   2861  0.0561975
  11178  0.101188
   4367  0.0561975
   3793  0.0443951
   9778  0.0561975
   2401  0.0423159
    519  0.0561975
  11667  0.0898558
  11223  0.0095005
  10930  0.00799072
   1506  0.0307348
   4831  0.0292489
