69
  index     tf-idf
-------  ---------
   2060  0.0925369
  10716  0.185901
   9898  0.0771999
   4143  0.118167
   3330  0.0896528
   1876  0.0763597
   8207  0.106797
   7481  0.25165
   7409  0.0282751
   6355  0.122125
   2189  0.146676
   8242  0.0571386
  12182  0.0763597
  12181  0.0957228
  11764  0.12775
   9015  0.137925
   5554  0.0843961
  10505  0.0605253
  10752  0.066506
   6001  0.0646641
   1286  0.210649
   7114  0.142915
     87  0.126134
  10961  0.0443716
   5341  0.200378
   9392  0.0934185
  10382  0.0908364
   5128  0.0739518
   6003  0.0461079
   1699  0.0916765
  12183  0.153186
  11895  0.0377868
   7420  0.111657
  10659  0.153186
   8167  0.0428238
  11490  0.167663
   4005  0.078254
  12058  0.073184
  10877  0.0695745
   3163  0.136405
  11750  0.0861728
  11834  0.0823746
      6  0.119071
  10271  0.0744731
   5829  0.0843961
   8729  0.200378
    116  0.101386
   9719  0.150882
   6124  0.0691196
   2049  0.0506559
   8874  0.0947832
   2865  0.0766376
  11659  0.0734381
   7508  0.0789419
   1318  0.0771999
   1556  0.0858103
   6735  0.37501
  12055  0.0438111
   7614  0.134948
   8743  0.0810878
    232  0.122934
   1968  0.126134
   9226  0.0103654
  11148  0.100287
  10632  0.032149
   8240  0.0244558
   9196  0.252267
   9257  0.0218977
   1436  0.144746
