300
  index      tf-idf
-------  ----------
   9712  0.0306515
   6167  0.0312413
   5229  0.0497906
    928  0.0708386
   9728  0.0268708
   1333  0.0503598
  10943  0.0591319
   3225  0.0855491
   7491  0.0475319
  10549  0.0702899
   9579  0.0337562
   5749  0.0283132
   2666  0.0391013
   8574  0.0410351
    475  0.0175699
   6873  0.0228106
   3766  0.023353
   4290  0.0226361
  10815  0.122149
   3835  0.034289
   7856  0.0410351
   6600  0.0169593
   2624  0.0333347
   4500  0.0528674
  11210  0.0441262
  10414  0.0304623
  11203  0.0287426
  10226  0.0252435
   2748  0.0400221
    574  0.023353
   7408  0.0445915
  10565  0.0345664
  10506  0.0638226
   1120  0.0527025
   8280  0.0620278
   3195  0.0638226
  11313  0.0638226
  10051  0.0410351
   8634  0.027273
  11036  0.0456212
   4379  0.0507302
   2387  0.0258703
   5960  0.0175699
   2938  0.0456865
    681  0.0568066
   9249  0.0302765
   2535  0.0337301
   1279  0.0231689
   5612  0.0568066
   4815  0.0597185
    569  0.0708386
   7194  0.0118106
   3226  0.0638226
   3764  0.0229882
   7188  0.0263582
  10756  0.0511422
  12054  0.0395512
   5744  0.0527025
   9404  0.0609246
   8886  0.072981
   2525  0.0254048
   8081  0.0441262
   7795  0.0302765
   7979  0.0427746
   6662  0.0646155
   4549  0.0312413
    771  0.0441262
   4609  0.0434278
  10632  0.00911416
   9364  0.0241246
   2221  0.0320853
   9915  0.0168123
   8519  0.0275504
   9572  0.0178356
   9149  0.0229882
   2383  0.0497906
   7431  0.0147106
   3720  0.0331437
   1555  0.029739
  10145  0.0742203
   5791  0.0427746
   9353  0.0177285
   4878  0.0971968
   6528  0.0351449
   7778  0.0208195
   3082  0.0348515
   5371  0.0138397
  12144  0.0129346
   4889  0.0622596
  10546  0.0308443
   9598  0.0434278
   5149  0.0568066
   8586  0.0441262
   9219  0.255711
   9258  0.0535337
   8667  0.0511422
   3776  0.0419303
   6001  0.0366642
   4223  0.0782025
   4362  0.034289
   6938  0.0971968
   8807  0.0121712
   6598  0.0597185
   2948  0.0456865
   2227  0.0405159
   5268  0.0728236
   5946  0.0228106
   2043  0.0348515
   8193  0.0351449
   5135  0.0415824
   2255  0.199169
    721  0.0190345
  10973  0.0139125
  11641  0.0995811
   3792  0.0263582
   1828  0.0749566
   1024  0.113613
   5282  0.0661438
   6609  0.114685
   5399  0.0386705
   5605  0.0378603
   6106  0.0116029
      6  0.0337562
   8642  0.0242253
   4681  0.123105
    953  0.0401363
   1419  0.0511422
    114  0.0276919
   6807  0.0198548
  10048  0.0348515
   5647  0.0240248
   1983  0.0527025
   2074  0.0229882
    617  0.0742203
  10551  0.0292285
   7243  0.0597185
  11193  0.0181639
   9226  0.00685668
   8007  0.0163835
  10317  0.0448763
   7165  0.0261113
   3109  0.0638226
    103  0.0247445
   4746  0.0638226
  10415  0.0680382
   6230  0.0448763
   4114  0.0371102
   7503  0.0427746
   2339  0.0348515
  10561  0.0206759
   9043  0.0782025
   2038  0.154682
   2749  0.0365514
   2037  0.0427746
   4360  0.141677
   9600  0.0545479
   2505  0.0400221
  11806  0.0279812
   7828  0.0400221
   3772  0.0410351
   6946  0.16414
  11847  0.0302765
  11169  0.0768719
   9257  0.00620795
   6840  0.0421609
   3862  0.0456865
  11593  0.0210388
   9022  0.0456865
   5750  0.0400221
    364  0.0217266
  11569  0.160088
  11790  0.0259422
    528  0.0358876
  11069  0.0374783
   7141  0.0284311
  11717  0.0197893
   7196  0.0400221
   3502  0.0708386
   6452  0.0258703
  10087  0.0650704
   9089  0.0855491
   6158  0.032674
   5587  0.0327679
   7035  0.134629
   5170  0.0133441
   6226  0.0214151
   6178  0.0410351
   1032  0.0337562
   6397  0.0374783
    378  0.0395512
   5093  0.0220479
  10332  0.113116
    908  0.0405159
   4722  0.0169101
   7019  0.0616886
   3092  0.0302765
   7407  0.0217266
   9627  0.0708386
   8236  0.0345664
  10877  0.0394484
   4944  0.0279812
   7741  0.253236
   1592  0.0181084
  10719  0.0441262
  10657  0.0217266
  11315  0.0302765
   3625  0.0568066
  10857  0.0190345
   7026  0.0400221
   9065  0.0410351
   8799  0.0749566
   4593  0.16414
   2250  0.0427746
  12053  0.0250693
   6203  0.0485959
   1230  0.0475319
   1967  0.0995811
   5400  0.0456865
   1604  0.0386705
   4853  0.0247445
   1483  0.0475319
   4122  0.0264839
  12110  0.058457
   9445  0.0708386
   5242  0.0191564
   2633  0.0316545
   2560  0.0465672
   5429  0.0708386
   9587  0.0620278
   8415  0.0395512
   7797  0.0405159
   9305  0.0274108
   8631  0.029739
   6635  0.0995811
   4147  0.0822323
   7140  0.0182196
    201  0.0261113
    204  0.0456865
   5951  0.0351449
   5269  0.0708386
   9859  0.0456865
  11040  0.0448763
   9501  0.0640161
   2424  0.0237314
    458  0.0378603
   8429  0.0691327
   1752  0.0669998
   5724  0.0527025
   3124  0.022899
   4503  0.0843219
  10132  0.0886978
   3409  0.0278251
  11818  0.0135536
    692  0.0737509
   8080  0.0332389
   6013  0.0174655
   6356  0.0139859
   6573  0.0250693
  12044  0.0882523
    553  0.0213387
   7320  0.0278355
    910  0.0266112
   9191  0.0295004
  11895  0.0107125
   6416  0.0497906
   2979  0.0357586
   4966  0.0594779
   3019  0.0378603
    659  0.0562579
   7302  0.0279812
   5708  0.0410351
  12058  0.0207475
   3158  0.0448763
   1994  0.0378603
   5767  0.0456865
   1398  0.119437
   8009  0.0429841
   2962  0.0485984
   6872  0.0168611
   9013  0.0405159
   5980  0.0213387
   7827  0.0245336
   1729  0.0527096
   8669  0.0412098
   9014  0.0708386
   9718  0.0245336
   5717  0.0867059
   9729  0.0415824
  11880  0.0542743
   9494  0.0123262
   3682  0.0179438
  10876  0.0236355
   7901  0.0461563
   2741  0.0708386
  10930  0.0484639
   3510  0.0258703
  10501  0.141677
   8971  0.0340191
  11136  0.0545479
   6024  0.0149912
