249
  index      tf-idf
-------  ----------
   9712  0.0416281
  11148  0.0386126
   2790  0.0308603
   5168  0.0694568
   1749  0.0632435
   7481  0.193782
   7409  0.0108865
   6892  0.0191958
   8363  0.0878819
   6353  0.0962067
   3331  0.0359681
    806  0.0374165
   6124  0.0266125
  10183  0.0378037
   6146  0.0694568
   8285  0.0403888
   6749  0.0550252
   1000  0.0866782
    104  0.034349
   2988  0.060947
    574  0.0951479
   7408  0.0151401
  10143  0.0416281
   1078  0.0403888
  10405  0.0438775
   3002  0.066002
   1328  0.0866782
    949  0.131602
   6283  0.0550252
   1045  0.034815
   9057  0.0396956
    329  0.0866782
   8945  0.0211552
   6888  0.0531039
   9543  0.0336057
   3849  0.0451572
   2535  0.0229046
   3691  0.0550252
   5789  0.0204706
   4399  0.0780044
   8859  0.0276185
    475  0.0238619
   8536  0.0740822
   4268  0.0364935
   6564  0.0760031
   9404  0.0413712
   8886  0.0330388
   7508  0.0303943
   6225  0.0819804
   2864  0.0173919
   1716  0.046945
  11702  0.0481411
   8303  0.0564735
   8866  0.0386126
  10235  0.0589798
   9078  0.0368553
   5346  0.0599283
   2428  0.0827424
  11750  0.0331783
  12055  0.0337364
   5165  0.0432797
   3205  0.0620473
   2330  0.0719362
   9554  0.0349739
   9779  0.0579607
   9482  0.050573
   5804  0.0572593
  12182  0.0294001
   1941  0.0198184
   2065  0.0337512
  10855  0.143152
  10078  0.031466
   9258  0.0223707
    478  0.0236498
   7114  0.0550252
  10124  0.0245183
   7374  0.0962067
   4827  0.0557303
   6531  0.0494513
   2493  0.04189
   8390  0.0260166
  12035  0.0253657
   1416  0.0481411
   7194  0.00802002
    721  0.025851
   1139  0.0866782
   6003  0.0355051
  10973  0.0377896
   4238  0.0572593
   9756  0.0508997
   9191  0.0200324
   8167  0.0494642
   2913  0.0473323
   4271  0.0214508
  10904  0.0221245
   3367  0.066002
     84  0.0291886
   1085  0.0408712
  10271  0.0286737
   2509  0.0619587
   9719  0.0580927
   2257  0.0508997
     40  0.04189
   8331  0.0771497
   1672  0.0351347
   7334  0.0771497
   6720  0.0186489
   6735  0.317651
   5554  0.0324943
   1356  0.0580927
  12219  0.0550252
  11193  0.0246686
   9226  0.00798183
  11479  0.0866782
   8240  0.018832
   9196  0.0485641
   9548  0.0432797
  10047  0.0299435
    863  0.112947
   2271  0.0866782
   6355  0.0470205
   3330  0.0862956
   1876  0.0294001
   1592  0.0245932
    485  0.0564735
   2985  0.0490006
  11806  0.0760031
   8242  0.0219996
  10526  0.0411189
  11764  0.0491865
  11169  0.0522003
   6076  0.0508997
   5700  0.0372269
  11765  0.0388225
   9149  0.0312205
   5299  0.0368553
   2448  0.0320996
   3020  0.0462018
   4221  0.114519
  10527  0.0191958
   1290  0.0740822
  11988  0.0445025
   6452  0.0351347
   1865  0.0443749
   6158  0.0221874
  11124  0.0503998
  10229  0.0323615
    558  0.0286737
  10382  0.17487
  10883  0.130726
   5093  0.0299435
   3847  0.023441
   1949  0.0441864
   1544  0.0265258
   8849  0.1008
   9027  0.0477307
   4005  0.0150647
   7869  0.0562581
  10877  0.0267876
  12058  0.0845322
  10385  0.121894
  11834  0.031716
  10657  0.0295071
   3143  0.0564735
   9066  0.0411189
   2716  0.0368553
   9262  0.173356
   2658  0.0740822
   7641  0.0580927
  12181  0.0737106
  11036  0.0929381
   4820  0.0228329
   7955  0.0519577
   5949  0.035462
   4950  0.0184073
  10329  0.0715759
   2990  0.0499174
    232  0.0473323
   4983  0.0364935
   8807  0.0661192
  10366  0.0250515
   9553  0.0424291
   5357  0.0599283
    939  0.0632435
   1715  0.0980011
   7549  0.0962067
   2246  0.0246686
   6621  0.0715759
   9898  0.0297236
   8550  0.0594472
   1903  0.0408712
     68  0.0598871
   9238  0.0537149
   1969  0.0473323
   9916  0.0519577
   9017  0.0233035
  11818  0.0184073
    199  0.0307423
  10975  0.0620473
   4017  0.0240051
   9498  0.0340468
   2424  0.0322299
   1465  0.0676212
   3124  0.0310994
   7223  0.129107
  10505  0.0466071
  10161  0.0531039
   1126  0.066002
   3030  0.0481411
   8080  0.0677133
   6571  0.0382022
   2678  0.0715759
   6429  0.160615
  11722  0.0572593
   9101  0.0401539
   1385  0.0256062
   8780  0.0793912
  11768  0.0866782
   5296  0.0374165
   8019  0.0557303
   6431  0.0715759
   7741  0.0429903
  12216  0.0866782
  10050  0.0768118
   7253  0.0811044
   5829  0.0649886
   3599  0.0550252
    998  0.0676212
   7147  0.0589798
  10414  0.0413712
   7816  0.066002
   2221  0.0435754
  10959  0.0811044
  10752  0.0256062
   3120  0.0499174
    441  0.0632435
   3509  0.066002
  11404  0.0632435
   2229  0.0441864
   3161  0.077645
   1968  0.145692
   1784  0.0235799
   5461  0.0411189
   1115  0.0709241
    328  0.0289803
  10930  0.0219398
   8431  0.0384059
   6958  0.0543544
   7500  0.0290841
