111
  index     tf-idf
-------  ---------
    209  0.247287
   4778  0.0297383
   5646  0.0544423
  10022  0.0583035
   1318  0.051346
   1788  0.0656458
   4495  0.0559028
   5379  0.0493584
  12169  0.0604158
   2645  0.131044
   2635  0.149732
   9358  0.195912
   9035  0.0701827
   6757  0.0440942
   2836  0.0449424
   3726  0.0427446
   5255  0.0585575
   2579  0.0862298
   5789  0.0353619
   6096  0.166192
   1808  0.156014
   2866  0.0817641
   3249  0.108712
   2150  0.0752743
  10723  0.0527034
   8636  0.0975552
   2234  0.0370553
   4889  0.0292131
   9258  0.0193221
   8995  0.147548
   2148  0.106212
   8791  0.166192
   5195  0.147548
   6013  0.0409754
   7194  0.0138542
   2673  0.046427
  11081  0.0643076
    386  0.107184
   2957  0.114015
   6027  0.158389
   1422  0.0606935
  11855  0.161168
    610  0.0408539
   4121  0.0385466
   2049  0.0336915
   9165  0.068186
   1156  0.083687
   9465  0.0483406
   8743  0.0539319
   8691  0.101208
   9226  0.0137882
   1019  0.0831614
   1706  0.0570729
   6239  0.0732942
   1876  0.0507873
  10554  0.0565979
   3720  0.116636
   6867  0.166192
  11790  0.0304311
  10961  0.118047
  10632  0.0213825
   1865  0.0383277
   6158  0.114983
  10755  0.0550066
   8476  0.0633512
   1226  0.127973
   4005  0.0260236
   7869  0.0777464
  10877  0.0925486
  12058  0.048675
   1395  0.0897543
   9210  0.046427
   3303  0.0422255
   5754  0.0535153
   4950  0.0635953
   6768  0.107445
    311  0.121949
   9709  0.0752743
   4377  0.0639845
   9257  0.0145643
   7984  0.111513
   5194  0.197977
   9833  0.0621331
   3062  0.0768758
  10994  0.0559028
   4741  0.0612589
   2432  0.0523076
  11818  0.0317976
   4937  0.0598698
   3053  0.0723629
   6356  0.0984357
   6573  0.0588142
   3562  0.0757962
   9748  0.116812
   9818  0.0723629
   2872  0.0609745
   9496  0.166192
   3570  0.0504219
      8  0.147548
   4332  0.280208
   4502  0.0685722
   6382  0.0392155
  10982  0.149732
  11308  0.119983
   8878  0.107445
   3682  0.0420975
  10876  0.0554505
  10930  0.0568499
  11900  0.105283
   8879  0.073774
   6024  0.0351704
