48
  index      tf-idf
-------  ----------
   3743  0.202678
   7431  0.059881
   5646  0.141692
   1434  0.193484
   1549  0.288583
   9389  0.101161
   8638  0.0966014
   7778  0.0847481
   1706  0.0990257
   9497  0.237956
  12144  0.0526515
  10132  0.120351
   7472  0.0569311
   8487  0.117649
   2932  0.222043
  10950  0.127171
  10226  0.0256892
  11984  0.0810895
   1965  0.128003
   8316  0.288356
    687  0.112147
   3847  0.0702588
   9818  0.125555
  10632  0.0742004
  10738  0.174119
   1705  0.20818
  10083  0.231237
   4422  0.115732
   5516  0.132438
   6863  0.0946846
    953  0.0544597
   2049  0.0584573
   4712  0.128003
  12034  0.0962108
   4728  0.15573
    108  0.115732
   5650  0.20818
  11811  0.243091
  11503  0.136365
   8478  0.17962
  11140  0.117
   9226  0.00797454
   9861  0.121056
   6479  0.136365
   4841  0.136365
  10858  0.0648346
  10667  0.0800262
   6560  0.0990257
