260
  index      tf-idf
-------  ----------
    209  0.059873
   4778  0.0144004
   7735  0.171635
  11108  0.025618
   7409  0.00910654
   4399  0.0261002
   7868  0.0249553
   3792  0.0299444
   2441  0.0362034
   1318  0.0248637
   5749  0.0107218
   4684  0.0725061
   3982  0.0186657
   3851  0.0744524
    582  0.0804767
   2195  0.0421593
   3108  0.0552106
  10831  0.0514318
   9541  0.052903
   3752  0.0306771
   5647  0.0272936
   6153  0.0219738
   1437  0.0276369
   8585  0.050982
   2645  0.0423042
   3608  0.0898649
   8280  0.0234891
   7538  0.050982
   9531  0.0246826
   6119  0.0581004
   4920  0.0186657
   4249  0.0539205
   6877  0.121871
   4379  0.0192108
   8813  0.0346069
   3751  0.0402699
   5757  0.0478972
   3714  0.0827318
   1030  0.0306771
   4971  0.056565
   2535  0.0287395
   6202  0.0430115
   7115  0.04724
   6727  0.0957945
   5789  0.0171236
   7672  0.0364507
  11157  0.0430115
  11806  0.0317882
   7194  0.0134175
   8874  0.0305268
   6073  0.339218
   6106  0.0131815
  10080  0.0343959
   2864  0.0290966
   2865  0.0246826
   6662  0.0367034
   8390  0.0435256
  10632  0.0414169
  11159  0.0460284
   7242  0.0393326
   7851  0.0519025
   4151  0.0389543
   8085  0.0179937
   1186  0.0478972
    548  0.0843186
   4640  0.0804767
   7431  0.016712
   2618  0.0555072
  10477  0.0581004
   6142  0.0278716
   4660  0.0291227
    933  0.0683472
   2189  0.04724
   8245  0.0309837
   3622  0.0203236
   5988  0.0312988
   8904  0.0210862
   1941  0.0165781
   3549  0.0328343
   2210  0.0271814
   9572  0.0405245
   8974  0.0678436
     75  0.053999
    135  0.0725061
   4789  0.0395933
   3771  0.056565
   9069  0.0572116
  10124  0.0410191
   3839  0.0567116
   6013  0.0198418
   2139  0.0352642
   2255  0.0754224
   9785  0.0552106
  10807  0.17385
  10973  0.0158054
   5637  0.053999
   4694  0.0449324
   3241  0.0202622
   8167  0.0275845
   8353  0.0402699
   7350  0.0454674
   2619  0.059873
    213  0.0357242
   1948  0.0581004
   1981  0.129071
   5554  0.0271814
   8037  0.0725061
   5641  0.0501299
  11890  0.056565
    610  0.019783
   7869  0.0188239
   8360  0.0286058
    108  0.0645987
    438  0.0218327
   7363  0.050982
   2330  0.0300873
   8743  0.0261159
   2597  0.0335886
  10857  0.0648728
   9226  0.011128
  10881  0.0269603
    102  0.0240704
    103  0.0281111
   1153  0.0439319
   4538  0.0377739
  10858  0.0361891
   1860  0.0581004
  10562  0.0434625
   1928  0.224802
   2749  0.0207623
   2649  0.0359613
  11810  0.0311402
   5192  0.0836147
  11846  0.0188807
   5285  0.0286058
  10016  0.0258146
   2637  0.0804767
   5198  0.10861
   3720  0.0188266
    488  0.0678436
   9372  0.0642529
   3764  0.0522318
    212  0.0305268
   6807  0.0225562
   8487  0.0328343
   5980  0.024242
   6087  0.0466182
   7408  0.0379939
  10961  0.0857444
  10334  0.0272936
  11160  0.0725061
  10755  0.0266363
  11947  0.107778
   5567  0.0722111
   3847  0.0980418
   4122  0.0601745
   5170  0.0303194
   5418  0.0311402
   9258  0.00467825
   2128  0.0724068
   6052  0.0519025
   1463  0.0406238
    131  0.0259142
   4750  0.0417558
    201  0.0296639
   7755  0.0409889
   5792  0.0224078
   1672  0.0293901
   6124  0.0445226
   5417  0.0362034
   5451  0.129071
   1602  0.0644621
     70  0.0406238
   2328  0.131796
   5579  0.0519025
  12053  0.0854403
   9121  0.0337852
   4950  0.0307953
   4954  0.0757986
   5613  0.0328343
   5612  0.129071
   6515  0.0610535
  10366  0.0209555
   3489  0.0348218
   6972  0.159477
   6581  0.0213521
   6283  0.0460284
   5981  0.0804767
  11132  0.0804767
   2169  0.0319561
  10154  0.0312988
   9257  0.00705259
    109  0.025521
   6290  0.0166226
  12144  0.0073472
  10715  0.0377739
   6094  0.0241559
   3062  0.0372262
   8533  0.211612
  10994  0.0541406
  10046  0.0283558
   5524  0.0466182
  11818  0.0153976
   9501  0.024242
   5420  0.0678436
   8429  0.0392694
   7392  0.0321264
   2225  0.0552106
   7921  0.0860229
   3409  0.0158054
   4359  0.0466182
   8093  0.059873
   6356  0.0158888
  11700  0.0409889
    136  0.114174
  11945  0.0804767
   6600  0.0192668
   8139  0.0176474
   5580  0.10026
   4422  0.0322994
   5296  0.0312988
   7164  0.0328343
   9748  0.056565
   7807  0.0725061
   5706  0.24143
  11895  0.01217
   7890  0.059873
  10536  0.0269603
   8678  0.0362034
   9732  0.050982
   1725  0.050982
   3556  0.0501299
   5790  0.0804767
   6172  0.0581004
   8889  0.0295262
   8240  0.0708881
  11977  0.0234084
   8790  0.0226311
   2194  0.0976649
     79  0.0249553
   7111  0.0137228
   2931  0.0645355
   2731  0.0289913
   1916  0.0804767
    208  0.0383103
  10370  0.0402699
   6873  0.0259142
  10557  0.0395933
   2360  0.0639122
   6225  0.0228588
   3682  0.0203852
   6244  0.0485944
   3585  0.0380578
   5461  0.0343959
   2761  0.0645355
  10930  0.0458815
   8431  0.0321264
    365  0.0390524
   7500  0.0243288
   6024  0.0340617
