  index  term                      df
   2150  conflict                  46
   2151  conform                    1
   2152  confound                   2
   2153  confront                  39
   2154  confus                    22
   2155  cong                       1
   2156  congeni                    1
   2157  congest                    5
   2158  congo                      2
   2159  congratul                 29
   2160  congreg                    1
   2161  congress                 112
   2162  congression               39
   2163  congressman               42
   2164  congressmen                1
   2165  congresswoman              2
   2166  conjunct                   2
   2167  conn                       4
   2168  connal                    24
   2169  connect                   68
   2170  connecticut               13
   2171  connel                     1
   2172  connelli                   1
   2173  connett                    1
   2174  conni                      7
   2175  conniv                     1
   2176  connoli                    1
   2177  connolli                   1
   2178  connor                     1
   2179  conquer                    1
   2180  conqueror                  3
   2181  conquest                   2
   2182  conrad                     6
   2183  conscienc                  3
   2184  consciou                   4
   2185  conscious                  2
   2186  consecut                  27
   2187  consensu                   9
   2188  consent                    2
   2189  consequ                   18
   2190  consequenti                1
   2191  conserv                   19
   2192  conservat                  1
   2193  conservationist            1
   2194  consid                   131
   2195  consider                  28
   2196  consign                    1
   2197  consist                   14
   2198  consistu                   1
   2199  consol                     8
   2200  consolid                  13
   2201  consortium                 7
   2202  conspicu                   2
   2203  conspir                    6
   2204  conspiraci                18
   2205  constant                  10
   2206  constantinescu             1
   2207  constantli                10
   2208  constern                   1
   2209  constitu                   5
   2210  constitut                103
   2211  constitution               5
   2212  constrain                  1
   2213  constrict                  1
   2214  construct                 30
   2215  consul                    10
   2216  consular                   3
   2217  consult                   20
   2218  consum                     5
   2219  consumpt                   1
   2220  contact                   38
   2221  contain                   46
   2222  contamin                   1
   2223  contempl                   4
   2224  contemporari               2
   2225  contempt                   9
   2226  contend                   25
   2227  content                   20
   2228  contenti                   4
   2229  contest                   44
   2230  context                   10
   2231  contin                     6
   2232  continent                  1
   2233  conting                    4
   2234  continu                  230
   2235  contort                    1
   2236  contra                     1
   2237  contract                  26
   2238  contractor                 4
   2239  contradict                 6
   2240  contrari                   7
   2241  contrast                   5
   2242  contribut                 47
   2243  contributor                5
   2244  contrit                    1
   2245  contriv                    1
   2246  control                  182
   2247  controversi               34
   2248  convei                     3
   2249  conven                     8
   2250  conveni                   16
   2251  convent                    8
   2252  converg                   14
   2253  convers                   18
   2254  convert                    5
   2255  convict                  123
   2256  convictsgetawai            1
   2257  convinc                   27
   2258  convincingli               1
   2259  convoi                    14
   2260  convok                     1
   2261  cooei                      1
   2262  cook                      20
   2263  cool                       8
   2264  cooler                     2
   2265  coon                       1
   2266  cooper                    72
   2267  coordin                   27
   2268  cop                        2
   2269  cope                       9
   2270  copi                      19
   2271  copper                     2
   2272  cord                       1
   2273  cordial                    3
   2274  cordillera                 1
   2275  cordon                    10
   2276  core                      10
   2277  corech                     1
   2278  corei                      2
   2279  coretta                    1
   2280  cori                       3
   2281  corina                     4
   2282  corn                       2
   2283  cornahaim                  1
   2284  cornaheim                  1
   2285  cornard                    1
   2286  corner                    34
   2287  cornerston                 1
   2288  cornett                    2
   2289  corni                      1
   2290  cornwal                    1
   2291  corollari                  1
   2292  coron                      2
   2293  corp                      16
   2294  corpor                    15
   2295  corps                     13
   2296  corpu                      1
   2297  corral                     1
   2298  correct                   25
   2299  correctli                  5
   2300  correl                     4
   2301  correspond                26
   2302  corridor                   2
   2303  corros                     3
   2304  corrug                     2
   2305  corrupt                   78
   2306  corzin                    13
   2307  cosbi                      1
   2308  cosic                      1
   2309  cosmeniov                  1
   2310  cosminov                   1
   2311  cost                      41
   2312  costa                      4
   2313  costello                   1
   2314  costelow                   1
   2315  costli                     5
   2316  costliest                  3
   2317  cot                        4
   2318  coteri                     1
   2319  cotibua                    1
   2320  coton                      1
   2321  cotton                     7
   2322  couch                      2
   2323  coue                       1
   2324  couldn                    54
   2325  coulibali                  9
   2326  council                   43
   2327  councilman                 1
   2328  counsel                   24
   2329  counselor                  2
   2330  count                     80
   2331  counter                   22
   2332  counterattack              4
   2333  counterintellig            3
   2334  counternarcot              1
   2335  counterpart                5
   2336  counterpunch               1
   2337  counterrevolutionari       1
   2338  counterterror             10
   2339  counti                    35
   2340  countless                  1
   2341  countri                  412
   2342  countryman                 7
   2343  countrymen                 8
   2344  countrysid                15
   2345  coup                      44
   2346  coupl                     40
   2347  courag                    11
   2348  courier                    3
   2349  cours                     62
   2350  court                    193
   2351  courtesi                   1
   2352  courthous                  4
   2353  courtland                  1
   2354  courtroom                  7
   2355  courtsid                   2
   2356  courtyard                  6
   2357  cousin                     4
   2358  coustunitza                1
   2359  coven                      1
   2360  cover                     68
   2361  coverag                   19
   2362  coverdel                   3
   2363  covic                      3
   2364  cow                        7
   2365  coward                     2
   2366  cowardli                  15
   2367  cowboi                     3
   2368  cower                      3
   2369  cowl                       1
   2370  cp                         1
   2371  cpn                        2
   2372  crabbi                     1
   2373  crack                     32
   2374  crackdown                 10
   2375  crackl                     2
   2376  cradl                      1
   2377  craft                     19
   2378  crafti                     2
   2379  cragei                     3
   2380  craggi                     1
   2381  craig                     13
   2382  cram                       3
   2383  cramp                      8
   2384  crane                     18
   2385  cranni                     1
   2386  crap                       1
   2387  crash                     85
   2388  crater                     6
   2389  crave                      2
   2390  crawl                      9
   2391  crazi                      7
   2392  creak                      1
   2393  creaki                     2
   2394  cream                      3
   2395  creasingli                 1
   2396  creat                     50
   2397  creation                   5
   2398  creativ                    2
   2399  creator                    1
   2400  credenc                    2
   2401  credenti                  16
   2402  credibl                   42
   2403  credit                    20
   2404  creditor                   4
   2405  cree                       1
   2406  creed                      2
   2407  creek                      1
   2408  creep                      5
   2409  creepi                     1
   2410  cremat                     4
   2411  crematoria                 1
   2412  crematorium                1
   2413  crept                      6
   2414  crescent                   1
   2415  crest                      2
   2416  crestfallen                1
   2417  crevic                     1
   2418  crew                     133
   2419  crewman                    4
   2420  crewmemb                   5
   2421  crewmen                   10
   2422  cri                       19
   2423  crime                     83
   2424  crimin                   105
   2425  criminolog                 1
   2426  crippl                    40
   2427  crise                     14
   2428  crisi                     54
   2429  crisp                      3
   2430  cristo                     1
   2431  criteria                   2
   2432  critic                   121
   2433  croat                      3
   2434  croatia                   14
   2435  croatian                   3
   2436  croifl                     1
   2437  croni                     18
   2438  crook                      7
   2439  crop                       3
   2440  crosbi                     5
   2441  cross                     47
   2442  crosscourt                 5
   2443  crossfir                   1
   2444  crouch                    12
   2445  crous                      1
   2446  crow                       1
   2447  crowbar                    6
   2448  crowd                    106
   2449  crowlei                   10
   2450  crown                      8
   2451  crucial                   21
   2452  crucifi                    1
   2453  crude                      1
   2454  crue                       1
   2455  cruel                      3
   2456  cruelti                    3
   2457  cruis                     16
   2458  cruiser                    3
   2459  cruman                     1
   2460  crumbl                    21
   2461  crumpl                     3
   2462  crusad                     4
   2463  crush                     22
   2464  crust                      1
   2465  crutch                     6
   2466  cruz                       1
   2467  crwrc                      1
   2468  cryptic                    1
   2469  crystal                    2
   2470  cuba                       9
   2471  cuban                      3
   2472  cue                        1
   2473  cuellar                    6
   2474  cuff                       1
   2475  cul                        1
   2476  culmin                     8
   2477  culpabl                    1
   2478  culprit                    9
   2479  cultiv                     2
   2480  cultur                    12
   2481  cummin                     2
   2482  cun                        5
   2483  cuomo                      3
   2484  cup                        9
   2485  cupboard                   1
   2486  curb                       4
   2487  curdl                      1
   2488  cure                       1
   2489  curfew                    10
   2490  curios                     2
   2491  curiou                     9
   2492  currenc                    2
   2493  current                   52
   2494  curriculum                 4
   2495  curs                       4
   2496  cursori                    1
   2497  curt                       2
   2498  curtail                    4
   2499  curtain                    3
   2500  curti                      3
   2501  curv                       3
   2502  cush                       2
   2503  cusp                       1
   2504  cussin                     2
   2505  custodi                   21
   2506  custodian                  3
   2507  custom                     9
   2508  customari                  2
   2509  cut                      115
   2510  cutback                    1
   2511  cutigua                    1
   2512  cutter                     8
   2513  cybercaf                   1
   2514  cybernet                   1
   2515  cycl                       3
   2516  cyclon                     1
   2517  cylind                     1
   2518  cylindr                    1
   2519  cynic                      9
   2520  cypru                      1
   2521  cyr                        1
   2522  czarist                    2
   2523  czech                     14
   2524  czechoslovakian            1
   2525  d                         89
   2526  da                         3
   2527  dad                       11
   2528  dada                       1
   2529  dade                       2
   2530  dadiv                      1
   2531  dae                        5
   2532  daewoo                     5
   2533  dagestan                   3
   2534  dagger                     3
   2535  dai                      476
   2536  daili                     29
   2537  daja                       2
   2538  dakota                    19
   2539  dakotan                    1
   2540  dakouri                    1
   2541  dalal                      1
   2542  dale                       2
   2543  dalei                      7
   2544  dali                       1
   2545  dalla                     37
   2546  dalworthington             1
   2547  dam                        1
   2548  damag                    156
   2549  damascu                    2
   2550  dame                       1
   2551  damir                      3
   2552  dammaj                     1
   2553  damor                      1
   2554  damp                       1
   2555  dampen                     2
   2556  dan                       18
   2557  dana                       2
   2558  danah                      4
   2559  danburi                    1
   2560  danc                      11
   2561  dancer                     3
   2562  dandelion                  1
   2563  dane                       1
   2564  danewich                   1
   2565  danforth                   3
   2566  danger                   103
   2567  dangl                      2
   2568  daniel                    19
   2569  daniela                    6
   2570  daniil                     2
   2571  danni                      1
   2572  danzig                     4
   2573  daoud                      1
   2574  dapist                     1
   2575  dar                        5
   2576  darden                     1
   2577  dare                      15
   2578  daren                      7
   2579  dark                      29
   2580  darken                     3
   2581  darl                       1
   2582  darn                       1
   2583  darrel                     2
   2584  dart                       1
   2585  darwinian                  1
   2586  daschl                    11
   2587  dash                       4
   2588  dashboard                  1
   2589  data                       4
   2590  date                      32
   2591  datelin                    7
   2592  daughter                  55
   2593  daunt                      6
   2594  dave                      18
   2595  davenport                 44
   2596  davi                       4
   2597  david                     59
   2598  davidian                   2
   2599  dawn                      24
   2600  daybreak                   3
   2601  dayeb                      1
   2602  daylight                   4
   2603  dayton                     9
   2604  daytona                    1
   2605  daze                       4
   2606  dazesurvivor               1
   2607  dc                         7
   2608  dd                         1
   2609  ddg                        7
   2610  dea                        1
   2611  deactiv                    2
   2612  dead                     165
   2613  deadli                    53
   2614  deadliest                 16
   2615  deadlin                   13
   2616  deadlock                   3
   2617  deaf                       1
   2618  deal                      98
   2619  dealt                      6
   2620  dean                       5
   2621  dear                       5
   2622  dearborn                   1
   2623  dearli                     3
   2624  death                    211
   2625  debar                      1
   2626  debat                     65
   2627  debbi                      5
   2628  deborah                    3
   2629  debra                      2
   2630  debri                     47
   2631  debt                      14
   2632  debut                      1
   2633  dec                       48
   2634  decad                     83
   2635  decai                      2
   2636  deceas                     8
   2637  deceit                     1
   2638  decemb                    79
   2639  decent                     2
   2640  decentr                    3
   2641  decept                     1
   2642  decibel                    1
   2643  decid                    103
   2644  decidedli                  1
   2645  decis                    174
   2646  deck                      44
   2647  declar                    99
   2648  declassifi                 1
   2649  declin                    48
   2650  decod                      2
   2651  decompos                   1
   2652  decor                      2
   2653  decrat                     2
   2654  decre                      2
   2655  decri                      3
   2656  ded                        1
   2657  dedic                      9
   2658  dedinj                     5
   2659  dee                        1
   2660  deed                       3
   2661  deem                       8
   2662  deep                      54
   2663  deepen                     5
   2664  deeper                     3
   2665  deepest                    1
   2666  deepli                    23
   2667  defac                      1
   2668  default                    3
   2669  defeat                   143
   2670  defect                     2
   2671  defenc                     3
   2672  defend                   121
   2673  defens                   155
   2674  defenselink                3
   2675  defer                      2
   2676  defi                       6
   2677  defianc                    7
   2678  defiant                    6
   2679  defiantli                  2
   2680  defici                     1
   2681  deficit                   11
   2682  defin                      7
   2683  definit                   37
   2684  deflat                     1
   2685  deflect                    6
   2686  defoli                     1
   2687  defolt                     1
   2688  deforest                  10
   2689  defraud                    3
   2690  defunct                    2
   2691  defus                      3
   2692  degr                       1
   2693  degrad                     4
   2694  degre                     31
   2695  dehuman                    1
   2696  dehydr                     3
   2697  del                       11
   2698  delai                     34
   2699  delawar                   25
   2700  deleg                     10
   2701  delhi                     17
   2702  deli                       1
   2703  deliber                   15
   2704  delic                      7
   2705  delici                     1
   2706  delight                    5
   2707  deliv                     36
   2708  deliveri                   2
   2709  dell                       1
   2710  delsaut                    2
   2711  delta                      9
   2712  delus                      2
   2713  delv                       1
   2714  demaci                     1
   2715  demagogu                   2
   2716  demand                    75
   2717  demarc                     1
   2718  demean                     1
   2719  demeanor                   2
   2720  dementieva                 5
   2721  demick                     1
   2722  demilitar                  1
   2723  demis                      6
   2724  democraci                 83
   2725  democrat                 188
   2726  democratich                1
   2727  demograph                  1
   2728  demolish                   5
   2729  demolit                    5
   2730  demon                      4
   2731  demonstr                  88
   2732  demot                      2
   2733  demur                      1
   2734  demystifi                  1
   2735  dengu                      1
   2736  deni                      95
   2737  denial                     5
   2738  denigr                     1
   2739  denis                     14
   2740  denisa                     3
   2741  denn                       1
   2742  denni                      8
   2743  denomin                    1
   2744  denounc                   13
   2745  dens                       4
   2746  dent                       2
   2747  dental                     1
   2748  denver                    21
   2749  depart                   180
   2750  departur                  20
   2751  depend                    34
   2752  depict                     1
   2753  deplan                     1
   2754  deplet                     2
   2755  deploi                    15
   2756  deplor                     2
   2757  deploy                     7
   2758  deport                     3
   2759  deportieren                1
   2760  depos                      7
   2761  deposit                    4
   2762  depot                      4
   2763  depress                    3
   2764  depriv                     1
   2765  dept                       1
   2766  depth                     13
   2767  deputi                    46
   2768  dequia                     2
   2769  derail                     1
   2770  derelict                   1
   2771  deriv                      3
   2772  desai                      1
   2773  descend                   18
   2774  descent                    9
   2775  descript                   8
   2776  desegreg                   1
   2777  desert                    35
   2778  deserv                    15
   2779  deservedli                 2
   2780  design                    38
   2781  designe                    1
   2782  desir                     16
   2783  desist                     3
   2784  desk                       6
   2785  desol                      1
   2786  despair                    6
   2787  desper                    39
   2788  despic                    12
   2789  despis                     3
   2790  despit                   116
   2791  despot                     1
   2792  destabil                   3
   2793  destin                    10
   2794  destini                    1
   2795  destitut                   1
   2796  destroi                   64
   2797  destroy                  168
   2798  destruct                  27
   2799  desvid                     1
   2800  detach                     3
   2801  detain                    31
   2802  detaine                    2
   2803  detect                    14
   2804  detector                   1
   2805  detent                    10
   2806  deter                     15
   2807  deterg                     1
   2808  deterior                  11
   2809  determin                 104
   2810  deterr                     2
   2811  detest                     1
   2812  deton                     30
   2813  detour                     4
   2814  detritu                    1
   2815  detroit                    3
   2816  deuc                      12
   2817  deutch                     8
   2818  deutsch                    1
   2819  devast                    58
   2820  devastatingli              1
   2821  develop                   97
   2822  deviat                     1
   2823  devic                     15
   2824  devilish                   1
   2825  devis                      1
   2826  devot                     15
   2827  devour                     2
   2828  devoutli                   1
   2829  dewat                      2
   2830  dewin                      2
   2831  dhabi                      4
   2832  dhahran                   12
   2833  dharan                     1
   2834  dhingra                    1
   2835  dhrumal                    1
   2836  di                       165
   2837  diabak                     1
   2838  diagnos                    5
   2839  diagnosi                   1
   2840  diagnost                   1
   2841  diagnostico                1
   2842  diagram                    1
   2843  dialect                    1
   2844  diallo                     2
   2845  dialo                      3
   2846  dialogu                    8
   2847  diamet                     3
   2848  diamond                    3
   2849  dian                       2
   2850  diann                      3
   2851  diari                      1
   2852  diarrhea                   3
   2853  diaz                       2
   2854  dick                      36
   2855  dickinson                  1
   2856  dictablanda                1
   2857  dictadura                  1
   2858  dictat                    29
   2859  dictatori                  3
   2860  dictatorship              10
   2861  diction                    4
   2862  dictionari                 1
   2863  dictment                   1
   2864  did                      309
   2865  didn                     128
   2866  die                       35
   2867  diego                      5
   2868  dienstbier                 2
   2869  diesel                     2
   2870  diet                       3
   2871  differ                   107
   2872  difficult                 84
   2873  difficulti                21
   2874  diffus                     1
   2875  dig                       49
   2876  digest                     1
   2877  digger                     3
   2878  digit                      4
   2879  dignitari                  5
   2880  digniti                    8
   2881  dilapid                    1
   2882  dilemma                    4
   2883  dilfer                     1
   2884  dilig                      1
   2885  dilut                      1
   2886  dime                       1
   2887  dimens                     2
   2888  diminish                   5
   2889  diminut                    1
   2890  dimitr                     1
   2891  dimitri                    2
   2892  dimmer                     1
   2893  dina                       1
   2894  dinar                      2
   2895  dine                       8
   2896  dinghi                     4
   2897  dingi                      1
   2898  dinh                       2
   2899  dinkic                     3
   2900  dinner                    10
   2901  dioulo                     1
   2902  dip                        2
   2903  diplomaci                  8
   2904  diplomat                  69
   2905  diplospeak                 4
   2906  dire                       1
   2907  direct                    75
   2908  directli                  40
   2909  director                 102
   2910  directrelief               1
   2911  diring                     1
   2912  dirksen                    1
   2913  dirt                      35
   2914  dirti                     11
   2915  dirtiest                   1
   2916  disabl                     4
   2917  disadvantag                1
   2918  disaffect                  1
   2919  disagr                     3
   2920  disagre                    8
   2921  disappear                 24
   2922  disappoint                25
   2923  disapprov                  1
   2924  disarm                     1
   2925  disarma                    1
   2926  disarrai                   2
   2927  disassembl                 1
   2928  disast                    76
   2929  disastr                    8
   2930  disband                    6
   2931  disbar                     4
   2932  disbelief                  5
   2933  disc                       1
   2934  discard                    2
   2935  discharg                   3
   2936  disciplin                 13
   2937  disciplinari               6
   2938  disclos                   12
   2939  disclosur                  7
   2940  discomfort                 4
   2941  discont                    2
   2942  discontinu                 1
   2943  discord                    2
   2944  discothequ                 1
   2945  discount                   1
   2946  discourag                  7
   2947  discov                    37
   2948  discoveri                 12
   2949  discovi                    1
   2950  discredit                 10
   2951  discreet                   1
   2952  discrep                    4
   2953  discret                    4
   2954  discrimin                  2
   2955  discuss                   75
   2956  disdain                    4
   2957  diseas                     9
   2958  disenfranchis              3
   2959  disgaz                     1
   2960  disgrac                   12
   2961  disgruntl                  5
   2962  disguis                    9
   2963  disgust                    1
   2964  dish                       1
   2965  dishdasha                  1
   2966  dishearten                 2
   2967  dishonor                   2
   2968  disillus                   2
   2969  disinfect                  5
   2970  disinform                  1
   2971  disintegr                 10
   2972  dislik                     1
   2973  disloc                     2
   2974  dislodg                    2
   2975  dismai                     3
   2976  dismal                     1
   2977  dismantl                   8
   2978  dismemb                    1
   2979  dismiss                   32
   2980  disobedi                  14
   2981  disord                     3
   2982  disori                     2
   2983  dispar                     4
   2984  disparag                   2
   2985  dispatch                  31
   2986  dispel                     2
   2987  dispens                    1
   2988  dispers                   13
   2989  displac                    2
   2990  displai                   29
   2991  displeas                   1
   2992  displeasur                 1
   2993  dispos                    12
   2994  disposit                   1
   2995  disprov                    2
   2996  disput                    33
   2997  disqualifi                 6
   2998  disquiet                   1
   2999  disregard                  5
   3000  disreput                   1
   3001  disrespect                 2
   3002  disrupt                    9
   3003  dissect                    1
   3004  dissemin                   4
   3005  dissent                    5
   3006  dissid                     6
   3007  dissip                     1
   3008  dissolv                   12
   3009  dissuas                    1
   3010  distanc                   16
   3011  distant                    7
   3012  distinct                   7
   3013  distinctli                 1
   3014  distinguish                7
   3015  distort                    6
   3016  distract                   8
   3017  distraught                13
   3018  distress                   4
   3019  distribut                 26
   3020  district                  38
   3021  distrust                   1
   3022  disturb                    9
   3023  disun                      2
   3024  ditch                      5
   3025  dive                      21
   3026  diver                     67
   3027  divers                     8
   3028  diversifi                  1
   3029  divert                     8
   3030  divid                     33
   3031  divis                     26
   3032  divorc                     3
   3033  divulg                     4
   3034  dixon                      3
   3035  dixvil                     1
   3036  dizzi                      2
   3037  djahouri                   1
   3038  djibouti                  20
   3039  djikal                     1
   3040  djila                      1
   3041  djindjic                  17
   3042  djukanov                   3
   3043  djuro                      1
   3044  dmitri                    12
   3045  dmon                       1
   3046  dna                        5
   3047  dnevnik                    1
   3048  doan                       1
   3049  dobrica                    1
   3050  dochterman                 1
   3051  dock                      42
   3052  docksid                    2
   3053  doctor                    52
   3054  doctorswithoutbord         1
   3055  doctrin                    1
   3056  document                  44
   3057  documentari                1
   3058  dodg                       1
   3059  dodgi                      3
   3060  doe                       93
   3061  doer                       1
   3062  doesn                     43
   3063  dog                       32
   3064  dogged                     1
   3065  doggedli                   1
   3066  doha                       1
   3067  dokic                      9
   3068  doll                       1
   3069  dollar                    47
   3070  dolphin                    1
   3071  domain                     1
   3072  dome                       2
   3073  domest                    16
   3074  domin                     42
   3075  dominican                  1
   3076  dominik                   16
   3077  dominikov                  4
   3078  dominion                   2
   3079  dominiqu                   1
   3080  domino                     3
   3081  don                      210
   3082  donald                    35
   3083  donaldson                  2
   3084  donat                     19
   3085  dong                       1
   3086  donkei                     1
   3087  donna                      2
   3088  donnel                     3
   3089  donor                     11
   3090  dooda                      1
   3091  doom                       9
   3092  door                      55
   3093  doorwai                    2
   3094  dopher                     1
   3095  dora                       1
   3096  dorcol                     1
   3097  doreen                     1
   3098  dori                       1
   3099  dormitori                  1
   3100  dorothi                    3
   3101  dose                       1
   3102  dostoyevski                1
   3103  dot                        3
   3104  doubl                     46
   3105  doubt                     52
   3106  doudou                     1
   3107  doug                       1
   3108  dougal                     9
   3109  dougherti                  2
   3110  dougla                     1
   3111  dour                       2
   3112  dove                       1
   3113  dover                     24
   3114  dow                        2
   3115  downbeat                   1
   3116  downfal                   19
   3117  downplai                   3
   3118  downpour                   1
   3119  downstair                  2
   3120  downtown                  29
   3121  dows                       1
   3122  doyal                      1
   3123  doze                       1
   3124  dozen                    114
   3125  dozo                       1
   3126  dpko                       1
   3127  dpmo                       2
   3128  dr                         8
   3129  draconian                  2
   3130  draft                     16
   3131  drag                      15
   3132  dragan                     6
   3133  dragana                    1
   3134  dragesa                    1
   3135  dragisha                   1
   3136  dragoljub                  8
   3137  dragomir                   2
   3138  dragon                     2
   3139  drain                      8
   3140  drama                     13
   3141  draman                    15
   3142  dramat                    33
   3143  drape                     18
   3144  draper                     2
   3145  draskov                    4
   3146  drastic                    1
   3147  draw                      48
   3148  drawn                     17
   3149  dread                      1
   3150  dream                     20
   3151  dress                     24
   3152  dresser                    1
   3153  drew                      23
   3154  drexel                     1
   3155  dri                        7
   3156  drift                      3
   3157  drill                      8
   3158  drink                     13
   3159  drip                       1
   3160  drissa                     3
   3161  drive                     65
   3162  driven                    17
   3163  driver                    24
   3164  drivewai                   1
   3165  drizzl                     1
   3166  drizzli                    1
   3167  drop                      52
   3168  drought                    2
   3169  drove                     22
   3170  drown                      6
   3171  drub                       1
   3172  drudg                      1
   3173  drug                      41
   3174  drugli                     1
   3175  drum                       1
   3176  drumbeat                   2
   3177  drummer                    2
   3178  drunk                      3
   3179  drunken                    1
   3180  dry                       10
   3181  drydock                    1
   3182  dtic                       2
   3183  du                         1
   3184  dual                       1
   3185  duan                       1
   3186  dub                        3
   3187  dubai                      5
   3188  dubiou                     1
   3189  duboc                      1
   3190  duc                        7
   3191  duck                       4
   3192  duct                       6
   3193  dudlei                    12
   3194  duel                       3
   3195  duffel                     2
   3196  duffi                      4
   3197  duffl                      1
   3198  dug                       22
   3199  duglon                     1
   3200  duguid                     2
   3201  duke                       1
   3202  dull                       1
   3203  duluth                     1
   3204  duma                       1
   3205  dump                      12
   3206  duo                        1
   3207  duopoli                    1
   3208  dupe                       1
   3209  duplic                     1
   3210  durango                    2
   3211  duress                     1
   3212  dusan                      1
   3213  dusk                       2
   3214  dust                      13
   3215  dusti                     11
   3216  dutch                      3
   3217  duti                      27
   3218  duval                      1
   3219  dwarf                      1
   3220  dwell                      2
   3221  dweller                    3
   3222  dwight                     2
   3223  dwindl                    11
   3224  dwyer                      1
   3225  dy                        16
   3226  dye                        2
   3227  dygalo                     2
   3228  dynam                      4
   3229  dynamit                    8
   3230  dynasti                    1
   3231  dysfunct                   1
   3232  e                         16
   3233  eager                     18
   3234  eagl                       1
   3235  eagleton                   1
   3236  eaker                      1
   3237  eant                       1
   3238  ear                        7
   3239  eardrum                    2
   3240  earli                    181
   3241  earlier                  188
   3242  earliest                   7
   3243  earmark                    8
   3244  earn                      23
   3245  earnest                    5
   3246  earshot                    1
   3247  earth                     29
   3248  earthmov                   3
   3249  earthquak                111
   3250  eas                       27
   3251  easi                      34
   3252  easier                    12
   3253  easiest                    2
   3254  easili                    25
   3255  easlei                     1
   3256  east                     128
   3257  eastern                   40
   3258  eat                       15
   3259  eaten                      3
   3260  eavesdrop                  1
   3261  eb                         3
   3262  ebb                        5
   3263  ebri                       1
   3264  eccel                      1
   3265  echeverria                 1
   3266  echo                      28
   3267  eclips                     2
   3268  ecolog                     1
   3269  ecologist                  1
   3270  econolin                   1
   3271  econom                    83
   3272  economi                   73
   3273  economist                 12
   3274  ecstat                     1
   3275  ecuador                   10
   3276  ecuadorian                 1
   3277  ed                        12
   3278  edberg                     1
   3279  edg                       49
   3280  edgar                      1
   3281  edict                      1
   3282  edific                     1
   3283  edikipa                    1
   3284  edinburgh                  1
   3285  edit                      16
   3286  editor                    16
   3287  editori                   16
   3288  edmond                    32
   3289  edmund                    25
   3290  edmundo                    1
   3291  edt                       13
   3292  eduard                     1
   3293  eduardo                    1
   3294  educ                      40
   3295  edward                     6
   3296  edwardo                    1
   3297  edwin                      2
   3298  ee                         3
   3299  eeri                       2
   3300  eerili                     1
   3301  effect                    76
   3302  effici                     4
   3303  effort                   185
   3304  effortlessli               1
   3305  egg                        5
   3306  egoavil                    3
   3307  egotist                    2
   3308  egregi                     1
   3309  egypt                     26
   3310  egyptian                  31
   3311  ehud                       8
   3312  ei                         6
   3313  eighteen                   1
   3314  eighth                    22
   3315  eighti                     5
   3316  eisenhow                   3
   3317  eject                      2
   3318  ekra                       1
   3319  el                        74
   3320  elabor                    24
   3321  elana                      1
   3322  elast                      1
   3323  elat                       1
   3324  elayn                      1
   3325  elbaum                     1
   3326  elbow                      7
   3327  elder                      6
   3328  elderli                    5
   3329  eldest                     3
   3330  elect                    312
   3331  elector                   80
   3332  electr                    42
   3333  electrician                3
   3334  electrifi                  1
